id,category,phenomenon,hook,explanation,status,source,source_url,question_type,closing_question,image_keyword
1,뇌·기억,데자뷰,"처음 온 곳인데 ""여기 와본 것 같은데?"" 싶은 순간","뇌의 '익숙함' 신호와 '회상' 신호가 어긋날 때 생긴다는 게 유력 가설. 측두엽·부해마피질이 실제 기억 없이 익숙함만 잘못 점화시킨다는 설명. 단일 정설은 아직 없음.",유력가설,"J. Neuropsychiatry Clin. Neurosci. (2002) / Cleary VR연구",https://psychiatryonline.org/doi/full/10.1176/jnp.14.1.6,추측초대,"마지막으로 '어 여기…' 했던 데자뷰, 언제였어요?","deja vu street, mysterious memory, brain illustration"
2,뇌·기억,나이 들수록 시간이 빨리 감,"어릴 땐 1년이 길었는데 요즘은 한 달이 훅 가죠","나이 들수록 시간이 빨리 느껴지는 건 여러 나라에서 확인된 현상. 단 원인은 정설이 없고 ①비율이론(1년이 인생에서 차지하는 비중 감소) ②새 경험-기억 가설 ③시간압박설이 경쟁 중.",유력가설,"Wittmann & Lehnhoff, Psychological Reports (2005)",https://journals.sagepub.com/doi/10.2466/pr0.97.3.921-935,추측초대,"시간을 다시 느리게 만들려면 뭘 하면 될까요?","clock time passing, calendar pages, hourglass"
3,몸·감각,하품 전염,"누가 하품하면 나도 모르게 ‘아—함’ 따라하게 되는 거","하품이 전염되는 건 사실. 그런데 흔한 ‘공감 능력이 높아서’라는 설명은 328명 연구에서 부정됐다 — 연령 보정 후 공감·지능과 무관, 유전 요인 가능성이 더 크다고 결론.",논쟁중,"Bartholomew & Cirulli, PLOS ONE (2014)",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091773,통념반전,"‘하품 잘 옮기면 공감력 높다’는 말 근거 없대요. 당신은 잘 옮는 편?","yawning person, sleepy office, tired group"
4,몸·감각,소름(닭살)이 돋는 이유,"춥지도 않은데 감동적인 노래에 팔에 소름이 쫙","교감신경이 흥분하면 입모근이 수축해 닭살이 돋는다(정설). 원래 털을 세워 보온하던 기능인데, 인간은 털이 퇴화해 보온 기능은 사실상 사라졌다.",정설,"Cell (2020) / NIH Research Matters",https://www.nih.gov/news-events/nih-research-matters/what-goosebumps-are,경험소환,"추울 때 말고 ‘어떤 순간’에 소름이 돋나요?","goosebumps skin, arm hair raised, cold skin"
5,몸·감각,녹음된 내 목소리가 어색한 이유,"녹음된 내 목소리 듣고 ""이게 내 목소리라고?"" 충격받은 적","평소 듣는 내 목소리는 공기 전도 + 두개골 뼈 전도가 합쳐진 소리라 더 굵게 들린다(정설). 녹음은 공기 전도만 잡아 얇게 들리는데, 그게 남들이 듣는 진짜 내 목소리다.",정설,"Royal Society Open Science (2023)",https://royalsocietypublishing.org/doi/10.1098/rsos.221561,통념반전,"남이 듣는 목소리 vs 내가 듣는 목소리, 어느 쪽이 ‘진짜’일까요?","voice recording, microphone, sound waves"
6,몸·감각,밝은 빛을 보면 재채기,"햇빛 보면 갑자기 재채기 터지는 사람 손!","밝은 빛에 재채기가 나오는 광반사 재채기는 인구의 18~35%에서 나타나고 유전된다(정설). 다만 빛 신호가 왜 재채기 신경을 건드리는지는 아직 미스터리.",미스터리,"NIH Medical Genetics Summaries (NCBI Bookshelf)",https://www.ncbi.nlm.nih.gov/books/NBK109193/,편가르기,"당신은 햇빛 보면 재채기 나오는 사람? 아닌 사람?","sunlight sneeze, bright light eyes, sunny squint"
7,몸·감각,딸꾹질,"한번 시작되면 숨 참아도 물 마셔도 안 멈출 때","횡격막이 갑자기 수축하고 성문이 닫히며 ‘딸꾹’ 소리가 난다(정설). 멈추기 어려운 건 뇌간 회로가 일종의 ‘호흡 부정맥’에 빠지기 때문이라는 가설. 어른에게 왜 존재하는지는 미스터리.",유력가설,"Frontiers in Neuroscience (2020)",https://pmc.ncbi.nlm.nih.gov/articles/PMC7351488/,추측초대,"당신만의 ‘확실히 듣는’ 딸꾹질 멈추는 법, 있나요?","hiccups, glass of water, surprised face"
8,몸·감각,자기 몸은 스스로 간지럼 못 태움,"남이 하면 자지러지는데 내가 하면 1도 안 간지러운 거","소뇌가 ‘내가 곧 나를 만질 것’이라 예측해 그 감각을 미리 차단하기 때문이라는 가설(실험적 지지 강함). 예측과 실제 사이에 시간차를 주면 자기 손으로도 간지럼이 살아난다.",유력가설,"Journal of Neuroscience / Blakemore et al.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6975290/,추측초대,"로봇 손에 시간차를 주면 내가 나를 간지럽힐 수 있다는데, 믿겨요?","tickling, laughing person, hands"
9,몸·감각,매운맛은 맛이 아니라 통증,"""혀가 아픈 거였어?"" 매운 거 먹고 헥헥대던 그 느낌","캡사이신은 미각이 아니라 열·통증을 감지하는 TRPV1 수용체를 자극한다(정설). 뇌는 매운맛을 ‘맛’이 아니라 ‘입안이 뜨겁고 아픈’ 신호로 받아들인다.",정설,"Int. J. Mol. Sci. (2018)",https://pmc.ncbi.nlm.nih.gov/articles/PMC6273518/,통념반전,"그럼 맵찔이·맵잘알은 미각이 아니라 통증 내성 차이인 건데, 당신은 어느 쪽?","chili pepper, spicy food, tongue"
10,몸·감각,눈 감거나 비비면 보이는 빛(포스펜),"눈 꾹 누르면 보이는 알록달록한 별빛, 나만 보는 거 아님","빛이 없는데 보이는 이 현상은 ‘포스펜’. 눈을 누르는 압력이 망막 시세포를 직접 자극하고, 뇌의 시각피질이 그 신호를 ‘압력’이 아니라 ‘빛’으로 해석한다(정설).",정설,"Doc. Ophthalmol. (1990)",https://pubmed.ncbi.nlm.nih.gov/2531426/,경험소환,"눈 감고 봤던 그 무늬, 색깔이랑 모양 어땠는지 묘사해볼 사람?","closed eyes, light spots, dark abstract"
11,몸·감각,조용할 때 귀에서 나는 소리(이명),"완전 조용한 방에서 ""삐~"" 들려본 적, 손!","이명이 청각계의 비정상 신경 활동에서 온다는 건 맞지만, ‘왜’ 생기는지 정확한 메커니즘은 미해결. 약 41%는 내이가 아니라 뇌 상부 구조에 원인이 있다.",논쟁중,"Frontiers in Neuroscience (2021)",https://pmc.ncbi.nlm.nih.gov/articles/PMC7905063/,추측초대,"진짜 아무 소리 없는 ‘완전한 정적’을 들어본 적 있긴 할까요?","silence, ear, sound wave"
12,몸·감각,멀미가 나는 이유,"책 보면 멀미, 운전하면 안 멀미. 왜?","‘감각 충돌설’이 가장 유력 — 눈(정지된 차내)과 전정기관(흔들리는 몸)이 보내는 신호가 어긋나서 생긴다는 가설. 2025년 실험에서 전정 정보의 인과적 역할은 입증됐으나 메커니즘은 연구 중.",유력가설,"Frontiers in Neurology (2016) / Nature Comms Eng (2025)",https://pmc.ncbi.nlm.nih.gov/articles/PMC4753518/,편가르기,"멀미 잘 나는 사람 vs 평생 멀미 모르는 사람, 당신은?","car window, seasick, winding road"
13,사회·심리,시끄러운 곳에서 내 이름은 꽂힌다(칵테일파티 효과),"카페 소음 속에서 누가 내 이름 부르면 딱 들리는 그거","‘칵테일 파티 효과’는 실재. 단 통념과 달리 모두에게 일어나진 않는다 — 무시하던 소리에서 자기 이름을 알아챈 사람은 약 29~35%뿐. ‘무조건 다 들린다’는 과장.",정설,"J. Exp. Psychol. LMC, Registered Replication (2020)",https://pmc.ncbi.nlm.nih.gov/articles/PMC8908911/,경험소환,"멀리서 내 이름 듣고 ‘움찔’했던 순간 있었던 사람?","crowded cafe, conversation, party"
14,뇌·기억,꿈을 깨면 금방 잊는 이유,"분명 생생한 꿈 꿨는데 5분 만에 다 날아간 적 있죠","REM수면 동안 기억 고착을 돕는 노르아드레날린이 거의 없어 꿈이 장기기억으로 잘 안 넘어간다는 게 유력 설명. (쥐 실험의 ‘능동적 삭제’설은 사람 꿈을 직접 다룬 게 아니라 추정 단계.)",유력가설,"Izawa et al., Science (2019) / NIH",https://www.science.org/doi/10.1126/science.aax9238,경험소환,"깨고 나서 꿈 붙잡으려고 다시 눈 감아본 적 있어요?","sleeping person, dream fog, waking up morning"
15,뇌·기억,머릿속에 노래가 맴도는 현상(귀벌레),"그 노래 한 소절이 하루 종일 무한반복된 적, 다들 있죠","인구의 약 90%가 겪는 보편 현상(귀벌레). 최근 들은 곡이나 연상 단어·감정이 방아쇠가 되고, 단순·반복적이며 살짝 예측이 어긋나는 멜로디가 더 잘 박힌다는 게 유력 가설. 정확한 신경기전은 미확정.",유력가설,"Jakubowski et al., APA (2017)",https://www.apa.org/pubs/journals/releases/aca-aca0000090.pdf,편가르기,"지금 이 글 읽으면서 떠오른 그 노래, 뭐예요?","music notes head, person headphones, sound waves"
16,뇌·기억,단어가 혀끝에서만 맴도는 현상(설단현상),"아는 단어인데 ""그거 있잖아 그거…"" 하면서 입에서만 맴돌 때","단어 인출은 ‘뜻 먼저, 소리 나중’ 2단계인데, 뜻은 떠올랐지만 소리 연결로의 전달이 약해 막히는 ‘전달결손’ 모델이 우세. 나이 들수록 잦아지는 것도 이 약화로 설명.",유력가설,"Shafto et al. (2007)",https://pmc.ncbi.nlm.nih.gov/articles/PMC2373253/,통념반전,"흔히 ‘비슷한 단어가 막아서’라는데 진짜 원인은 다르대요. 당신은 어떤 단어에서 자주 막혀요?","confused person, thinking face, blank speech bubble"
17,뇌·기억,잠들 때 움찔 떨어지는 느낌(입면 경련),"잠들기 직전 갑자기 발 헛디딘 듯 움찔! 하고 깬 적 있죠","깨어있음→수면 전환기에 일어나는 양성 근육 경련으로 최대 70%가 경험. 뇌간의 ‘오발’이나 근육 이완을 추락으로 착각한 반응이라는 설이 있으나 원인은 확정 안 됨.",논쟁중,"Sleep Foundation(AASM 기반) / Springer (2018)",https://www.sleepfoundation.org/parasomnias/hypnic-jerks,추측초대,"움찔할 때 무슨 꿈이나 장면을 보고 있었던 것 같아요?","falling sensation, person asleep, startle"
18,사회·심리,무섭고 불편한데 자꾸 보게 되는 심리,"사고 영상·잔혹한 뉴스, 보기 싫다면서도 결국 클릭하잖아요","사람은 죽음·폭력 이미지를 ‘일부러’ 선택한다는 게 실험으로 확인됨(병리가 아니라 정상 심리). 왜인지는 ①위협을 안전하게 학습 ②자극 추구 두 가설이 경합 중.",논쟁중,"Oosterwijk, PLOS ONE (2017)",https://pmc.ncbi.nlm.nih.gov/articles/PMC5500011/,편가르기,"당신은 무서운 거 ‘굳이 보는 편’ vs ‘절대 안 보는 편’?","true crime, horror peeking, dark curiosity"
19,자연·물리,하늘은 왜 파란가,"맑은 날 고개 들면 온통 파란데, 왜 하필 파랑일까?","햇빛이 공기 분자에 부딪혀 흩어질 때(레일리 산란) 파장이 짧은 파란빛이 훨씬 많이 흩어져 하늘로 퍼진다(정설). 노을이 붉은 건 빛이 대기를 길게 지나며 파란빛이 다 빠지고 붉은빛만 남아서.",정설,"NASA Space Place",https://spaceplace.nasa.gov/blue-sky/en/,경험소환,"노을이 유독 빨갛게 타오른 날, 기억나는 순간 있어요?","blue sky clouds, sunset horizon, sunlight"
20,자연·물리,별은 왜 깜빡이나,"별은 깜빡이는데 옆에 뜬 행성은 안 깜빡인다, 알고 있었나요?","별빛이 지구 대기의 온도·밀도 다른 공기층을 지나며 굴절돼 밝기가 빠르게 변하는 것(대기 섬광). 별은 점광원이라 흔들리고, 행성은 작은 원반이라 상쇄돼 거의 안 깜빡인다. 대기 밖에선 별도 안 깜빡임.",정설,"Sky & Telescope / 천문학 정설",https://skyandtelescope.org/astronomy-resources/why-do-stars-twinkle/,통념반전,"밤하늘에서 ‘안 깜빡이는 밝은 별’은 사실 별이 아닐 수도 있대요. 믿겨요?","night sky stars, twinkling stars, telescope"
21,자연·물리,뜨거운 물이 더 빨리 언다?(음펨바 효과),"""따뜻한 물을 얼리면 더 빨리 언다""는 말, 들어본 적 있죠?","유명하지만 2016년 정밀 통제 실험은 ‘뜨거운 물이 더 빨리 언다는 의미 있는 증거가 없고 잘 정의된 현상이 아니다’라고 결론. 단 조건 정의에 따라 다르고 모형계 연구로 논쟁이 이어지는 중.",논쟁중,"Burridge & Linden, Scientific Reports (2016)",https://www.nature.com/articles/srep37665,추측초대,"직접 해본다면 뜨거운 물 vs 찬물, 뭐가 먼저 얼 것 같아요?","ice cubes freezer, hot water steam, water freezing"
22,자연·물리,젖으면 왜 색이 진해 보이나,"흰 티셔츠에 물 튀면 그 부분만 확 진해지는 거, 다들 겪어봤죠","물이 섬유·종이 표면의 공기 틈을 채우면 표면이 매끈해지고, 빛이 물-공기 경계에서 갇혀 안쪽에서 더 흡수된다. 눈으로 돌아오는 빛이 줄어 진하게 보이는 것 — 실제 색소는 그대로(정설).",정설,"Bohren, Applied Optics (1986)",https://opg.optica.org/ao/abstract.cfm?uri=ao-27-7-1278,경험소환,"‘젖으니 완전 딴 색 됐네’ 했던 거 뭐 있어요?","wet fabric, water droplet cloth, wet paper"
23,자연·물리,고양이 골골거림의 비밀,"고양이 안고 있으면 가슴에서 드르륵 떨림, 그거 어떻게 내는 걸까?","후두 근육이 초당 25~150회 진동해 나는 소리. 오래 ‘신경 진동자’설이 정설처럼 통했지만 2023년 연구는 신경 입력 없이 후두만으로도 그 주파수가 나는 걸 발견해 통념에 도전. 이유도 만족·유대부터 통증완화까지 단정 어려움.",논쟁중,"Herbst et al., Current Biology (2023)",https://www.cell.com/current-biology/fulltext/S0960-9822(23)01230-7,통념반전,"‘골골=행복’으로만 알았는데, 아플 때도 골골거린대요. 알았어요?","cat purring, cat relaxed lap, kitten cuddle"
24,사회·심리,웃음도 전염된다,"옆에서 빵 터지면 나도 모르게 입꼬리 올라간 적 있죠","웃음이 전염된다는 현상 자체는 정설(녹음된 웃음만으로도 따라 웃음). 단 그 원인이 ‘거울뉴런’이라는 설명은 대중과학이 과장한 가설 단계로, 인간 거울뉴런의 직접 증거는 아직 약하다.",논쟁중,"Provine, American Scientist (1996)",https://www.researchgate.net/publication/319186265,통념반전,"‘거울뉴런 때문’이라는 말, 사실 학계에선 아직 논쟁 중이래요. 알았어요?","contagious laughter, friends laughing, group"
25,사회·심리,거울 속 얼굴이 사진보다 나아 보이는 이유,"거울 볼 땐 멀쩡한데 사진만 찍으면 왜 어색하지?","단순노출효과 — 매일 보는 ‘좌우반전된 거울 얼굴’에 익숙해 그게 낫게 느껴지고, 친구들은 반전 안 된 ‘진짜 얼굴’을 선호한다. 실험에서 본인은 거울상, 친구는 실제상을 골랐다(정설).",정설,"Mita, Dermer & Knight, JPSP (1977)",https://pmc.ncbi.nlm.nih.gov/articles/PMC3153757/,경험소환,"남들 눈에 진짜 내 얼굴은 사진 쪽이라는데… 받아들일 수 있어요?","woman face portrait, smiling person, selfie"
26,사회·심리,음악에 소름이 돋는 현상(프리송),"좋아하는 곡 그 한 소절에서 등골 쫙— 소름 돋는 순간","음악으로 소름이 돋을 때 뇌 보상회로에서 실제로 도파민이 분비된다. 절정 직전(기대)엔 미상핵, 절정 순간엔 측좌핵에서 분비돼 부위가 다르다. 추상적 보상이 도파민을 낸다는 첫 입증(정설).",정설,"Salimpoor et al., Nature Neuroscience (2011)",https://pubmed.ncbi.nlm.nih.gov/21217764/,경험소환,"당신한테 ‘소름 트리거’ 되는 그 노래 그 구간, 어디예요?","goosebumps skin, listening music, concert crowd"
27,사회·심리,배부른데 디저트는 들어가는 이유,"배불러 죽겠는데 디저트는 왜 또 들어가지?","두 갈래. ①감각특이적 포만감(짠맛에 질려도 새 단맛엔 식욕이 되살아남) ②2025년: 포만 상태에서 당을 먹으면 POMC 신경세포가 β-엔도르핀을 분비해 보상감을 일으킨다는 게 쥐+사람 뇌 스캔으로 확인되는 중.",유력가설,"Minère et al., Science (2025) / Max Planck",https://www.mpg.de/24159607/0211-neur-dessert-stomach-emerges-in-the-brain-153735-x,통념반전,"‘디저트 배는 따로 있다’는 농담, 진짜 뇌에 회로가 있대요. 알았어요?","dessert cake, sweet craving, ice cream"
